"eventdate","mealname","fcst_custcount","served_custcount"
"1/8/2025 0:00","Breakfast",295,299
"1/8/2025 0:00","Lunch",830,744
"1/8/2025 0:00","Dinner",490,487
"1/9/2025 0:00","Breakfast",305,305
"1/9/2025 0:00","Lunch",880,804
"1/9/2025 0:00","Dinner",470,542
"1/10/2025 0:00","Breakfast",260,233
"1/10/2025 0:00","Lunch",730,725
"1/10/2025 0:00","Dinner",325,371
"1/11/2025 0:00","Brunch",385,454
"1/12/2025 0:00","Brunch",405,449
"1/13/2025 0:00","Breakfast",305,344
"1/13/2025 0:00","Lunch",880,935
"1/13/2025 0:00","Dinner",500,500
"1/14/2025 0:00","Breakfast",315,320
"1/14/2025 0:00","Lunch",880,890
"1/14/2025 0:00","Dinner",500,536
"1/15/2025 0:00","Breakfast",295,299
"1/15/2025 0:00","Lunch",830,772
"1/15/2025 0:00","Dinner",470,549
"1/16/2025 0:00","Breakfast",315,286
"1/16/2025 0:00","Lunch",850,807
"1/16/2025 0:00","Dinner",470,495
"1/17/2025 0:00","Breakfast",260,263
"1/17/2025 0:00","Lunch",730,720
"1/17/2025 0:00","Dinner",325,439
"1/18/2025 0:00","Brunch",385,372
"1/19/2025 0:00","Brunch",380,385
"1/20/2025 0:00","Breakfast",80,55
"1/20/2025 0:00","Lunch",320,336
"1/20/2025 0:00","Dinner",400,314
"1/21/2025 0:00","Breakfast",315,183
"1/21/2025 0:00","Lunch",750,699
"1/21/2025 0:00","Dinner",615,566
"1/22/2025 0:00","Breakfast",295,240
"1/22/2025 0:00","Lunch",720,701
"1/22/2025 0:00","Dinner",575,527
"1/23/2025 0:00","Breakfast",315,250
"1/23/2025 0:00","Lunch",730,818
"1/23/2025 0:00","Dinner",530,507
"1/24/2025 0:00","Breakfast",260,224
"1/24/2025 0:00","Lunch",600,704
"1/24/2025 0:00","Dinner",400,404
"1/25/2025 0:00","Brunch",385,387
"1/26/2025 0:00","Brunch",390,475
"1/27/2025 0:00","Breakfast",280,299
"1/27/2025 0:00","Lunch",870,909
"1/27/2025 0:00","Dinner",500,628
"1/28/2025 0:00","Breakfast",280,279
"1/28/2025 0:00","Lunch",840,760
"1/28/2025 0:00","Dinner",530,653
"1/29/2025 0:00","Breakfast",280,293
"1/29/2025 0:00","Lunch",760,774
"1/29/2025 0:00","Dinner",495,519
"1/30/2025 0:00","Breakfast",280,280
"1/30/2025 0:00","Lunch",815,799
"1/30/2025 0:00","Dinner",490,505
"1/31/2025 0:00","Breakfast",260,232
"1/31/2025 0:00","Lunch",680,682
"1/31/2025 0:00","Dinner",345,415
"2/1/2025 0:00","Brunch",325,374
"2/2/2025 0:00","Brunch",375,445
"2/3/2025 0:00","Breakfast",295,295
"2/3/2025 0:00","Lunch",840,916
"2/3/2025 0:00","Dinner",575,609
"2/4/2025 0:00","Breakfast",290,311
"2/4/2025 0:00","Lunch",840,857
"2/4/2025 0:00","Dinner",480,682
"2/5/2025 0:00","Breakfast",290,254
"2/5/2025 0:00","Lunch",815,732
"2/5/2025 0:00","Dinner",470,493
"2/6/2025 0:00","Breakfast",280,287
"2/6/2025 0:00","Lunch",800,751
"2/6/2025 0:00","Dinner",445,535
"2/7/2025 0:00","Breakfast",260,225
"2/7/2025 0:00","Lunch",680,837
"2/7/2025 0:00","Dinner",390,395
"2/8/2025 0:00","Brunch",370,436
"2/9/2025 0:00","Brunch",430,415
